Level,Card,Image,Upright,Reversed,Drawn,
('Major','The World',,'fulfillment, harmony, completion','incompletion, no closure'),
('Major','Judgement',,'reflection, reckoning, awakening','lack of self awareness, doubt, self loathing'),
('Major','The Sun',,'joy, success, celebration, positivity','negativity, depression, sadness'),
('Major','The Moon',,'unconscious, illusions, intuition','confusion, fear, misinterpretation'),
('Major','The Star',,'hope, faith, rejuvenation','faithlessness, discouragement, insecurity'),
('Major','The Tower',,'sudden upheaval, broken pride, disaster','disaster avoided, delayed disaster, fear of suffering'),
('Major','The Devil',,'addiction, materialism, playfulness','freedom, release, restoring control'),
('Major','Temperance',,'middle path, patience, finding meaning','extremes, excess, lack of balance'),
('Major','Death',,'end of cycle, beginnings, change, metamorphosis','fear of change, holding on, stagnation, decay'),
('Major','The Hanged Man',,'sacrifice, release, martyrdom','stalling, needless sacrifice, fear of sacrifice'),
('Major','Justice',,'cause and effect, clarity, truth','dishonesty, unaccountability, unfairness'),
('Major','The Wheel of Fortune',,'change, cycles, inevitable fate','no control, clinging to control, bad luck'),
('Major','The Hermit',,'contemplation, search for truth, inner guidance','loneliness, isolation, lost your way'),
('Major','Strength',,'inner strength, bravery, compassion, focus','self doubt, weakness, insecurity'),
('Major','The Chariot',,'direction, control, willpower','lack of control, lack of direction, aggression'),
('Major','The Lovers',,'partnerships, duality, union','loss of balance, one-sidedness, disharmony'),
('Major','The Hierophant',,'tradition, conformity, morality, ethics','rebellion, subversiveness, new approaches'),
('Major','The Emperor',,'authority, structure, control, fatherhood','tyranny, rigidity, coldness'),
('Major','The Empress',,'motherhood, fertility, nature','dependence, smothering, emptiness, nosiness'),
('Major','The High Priestess',,'intuitive, unconscious, inner voice','lack of center, lost inner voice, repressed feelings'),
('Major','The Magician',,'willpower, desire, creation, manifestation','trickery, illusions, out of touch'),
('Major','The Fool',,'innocence, new beginnings, free spirit','recklessness, taken advantage of, inconsideration'),
('Minor','Seven of Wands',,'perseverance, defensive, maintaining control','give up, destroyed confidence, overwhelmed'),
('Minor','Four of Wands',,'community, home, celebration','lack of support, transience, home conflicts'),
('Minor','Ace of Wands',,'creation, willpower, inspiration, desire','lack of energy, lack of passion, boredom'),
('Minor','Ten of Wands',,'accomplishment, responsibility, burden','inability to delegate, overstressed, burnt out'),
('Minor','Nine of Wands',,'resilience, grit, last stand','exhaustion, fatigue, questioning motivations'),
('Minor','Eight of Wands',,'rapid action, movement, quick decisions','panic, waiting, slowdown'),
('Minor','Six of Wands',,'victory, success, public reward','excess pride, lack of recognition, punishment'),
('Minor','Five of Wands',,'competition, rivalry, conflict','avoiding conflict, respecting differences'),
('Minor','Three of Wands',,'looking ahead, expansion, rapid growth','obstacles, delays, frustration'),
('Minor','Two of Wands',,'planning, making decisions, leaving home','fear of change, playing safe, bad planning'),
('Minor','Page of Wands',,'exploration, excitement, freedom','lack of direction, procrastination, creating conflict'),
('Minor','Queen of Wands',,'courage, determination, joy','selfishness, jealousy, insecurities'),
('Minor','King of Wands',,'big picture, leader, overcoming challenges','impulsive, overbearing, unachievable expectations'),
('Minor','Knight of Wands',,'action, adventure, fearlessness','anger, impulsiveness, recklessness'),
('Minor','King of Cups',,'compassion, control, balance','coldness, moodiness, bad advice'),
('Minor','Queen of Cups',,'compassion, calm, comfort','martyrdom, insecurity, dependence'),
('Minor','Knight of Cups',,'following the heart, idealist, romantic','moodiness, disappointment'),
